Function access.S+,Function access.T+,Operator expression.S-,Variable declaration.S-;3;[apache_derby-47f286f672c05c2806e8fe2554865a2fcdeac382, google_ExoPlayer-0a8dc41632fa4c95ff78bd33ccb06b586b09bbdb, apache_tomcat-6b61911f94d6d8d49ee933c5f1882a7e7c336d2c]
Class Creation.T+,Function access.S-,Operator expression.S-;3;[Netflix_Hystrix-8bca0cb72348ea30f1af8175f5db07dce91f302c, facebook_fresco-1ed1423a626c35d1e27690a520b0381fc27bbfd7, brettwooldridge_HikariCP-3dc3f619b4831f39e53bf86b54d7c0c9a8477774]
Exception Handler.S-,Function Creation.T+,Return modifier.S+;4;[apache_tomcat-27ca28f275e457e520842e32c0d70894a89a96a4, apache_derby-47f286f672c05c2806e8fe2554865a2fcdeac382, brettwooldridge_HikariCP-b5101d5e18d3fa68de4e8982cb94a681c0430d8b, WhisperSystems_Signal-Android-7bec5efe1a4ac3fd30882a14d573c9e3558c45ed]
Exception Handler.S-,Function Creation.T+,Return modifier.S-;5;[WhisperSystems_Signal-Android-1a7ab6346f0c0306bfca098698a4a1b3b3edd18f, apache_derby-47f286f672c05c2806e8fe2554865a2fcdeac382, brettwooldridge_HikariCP-b5101d5e18d3fa68de4e8982cb94a681c0430d8b, WhisperSystems_Signal-Android-7bec5efe1a4ac3fd30882a14d573c9e3558c45ed, apache_tomcat-c0cb61b2d0357ba912c8c39326b08ce64743f1b1]
Exception Handler.S-,Function Creation.T+,Return modifier.T+;6;[apache_derby-01a4f9bd8890e2288c089e821d6ac71edecdfd4b, apache_tomcat-27ca28f275e457e520842e32c0d70894a89a96a4, apache_derby-47f286f672c05c2806e8fe2554865a2fcdeac382, apache_derby-50734d82d276fa9ed8e8d5caad2be8ecec410910, Netflix_Hystrix-8bca0cb72348ea30f1af8175f5db07dce91f302c, apache_tomcat-c0cb61b2d0357ba912c8c39326b08ce64743f1b1]
Exception Handler.S-,Exception Handler.T+,Flow loop control.S-,Function Creation.T+;12;[apache_derby-a40bc130f678c899cf3c1eb1e3d3d481e1ae38b8, apache_derby-51e8282d9c76d4687b25ea80467aac3b82344ef1, google_ExoPlayer-f3dbb746134b0eb2d56b7fdb721d9f5e810e2707, netty_netty-1351349243128ea7048a98e01e65609af8628d96, apache_derby-03f15c03ba86933788d886c742ce02293a04fcee, apache_derby-d9d733ad3724ad1a117df2bd7b488c12995b251b, Netflix_Hystrix-32bd26e54fa49ee875259e2baefa1726db7beeb7, apache_tomcat-1ab3266d53d7b273d431154229385e216662f34a, netty_netty-57e7571c65f181df97ea7bbab372659a0baedfa1, apache_tomcat-ca205c1c429f5a497c57fbbcdf17bf19d8ea0ec5, brettwooldridge_HikariCP-3dc3f619b4831f39e53bf86b54d7c0c9a8477774, apache_derby-fb605fe1d1890d0c50ecb56aae300648401401ac]
Function Creation.T+,Function access.T+,Operator expression.S+,Return modifier.T+;5;[netty_netty-1729859c68f5d7ba647854b69b4fccf5bf2ccb9d, facebook_fresco-a03506da4fe63439ee1fc4c9c99212df93dea02c, elastic_elasticsearch-hadoop-c6327839e4d8dd7b35fcae06291cf3f69c26d71e, apache_tomcat-6b61911f94d6d8d49ee933c5f1882a7e7c336d2c, apache_derby-df2b52c079a2d106374760a4098c7ac9fa669bb0]
Class Creation.S-,Exception Handler.T+,Flow loop control.T+,Function Creation.T+,Operator expression.S-;2;[Netflix_Hystrix-32bd26e54fa49ee875259e2baefa1726db7beeb7, brettwooldridge_HikariCP-3dc3f619b4831f39e53bf86b54d7c0c9a8477774]
Function access.T+,Return modifier.S-,Variable declaration.S-,Variable declaration.T+;4;[apache_tomcat-498d4a4cced0d6ceced4fee9393b6a89ed02325d, apache_tomcat-fb89b7a354b51d9c86c75561d69d7aa5e6721829, apache_derby-47f286f672c05c2806e8fe2554865a2fcdeac382, google_ExoPlayer-b2a28a140c1eb8349e50649b6687fe18b835eeb9]
Exception Handler.S+,Exception Handler.S-,Flow loop control.S+,Function access.S-,Function access.T+;2;[apache_derby-01a4f9bd8890e2288c089e821d6ac71edecdfd4b, google_ExoPlayer-b6755c145e0f06360f7852a9b1f9ad67cec47533]
