Conditional.T+,Function access.S-,Function access.T+;5;[apache_tomcat-d7db4dd17be114b907a0c04ca33ca71b53ce820c, apache_tomcat-378d06284bfa20317395d3516a8adf21359a57d9, google_ExoPlayer-cb85dc25aa74978c59ee04d83fac9728318cb77f, apache_derby-b153b241b7dbf4de0e40262b8cc6c9e46be817e2, apache_tomcat-64389d04c74a7d14e37e077d0d563ebb8b45d2ba]
Function Creation.S-,Function access.S+,Function access.S-,Return modifier.S-,Variable declaration.S+;2;[apache_tomcat-6b61911f94d6d8d49ee933c5f1882a7e7c336d2c, apache_derby-24e3f7e93c8df4ffb5addb8c35416d515d65dde5]
Function Creation.S-,Operator expression.S-,Variable declaration.S+;2;[apache_tomcat-6b61911f94d6d8d49ee933c5f1882a7e7c336d2c, apache_derby-24e3f7e93c8df4ffb5addb8c35416d515d65dde5]
Function Creation.S-,Operator expression.S-,Variable declaration.S-;4;[google_ExoPlayer-d03fb105165f0724b8e576f84b85503c169b233d, apache_tomcat-6b61911f94d6d8d49ee933c5f1882a7e7c336d2c, apache_tomcat-378d06284bfa20317395d3516a8adf21359a57d9, google_ExoPlayer-5360ddc519392037c3af0887d5d0dafeafe4c110]
Function Creation.S-,Operator expression.S-,Variable declaration.T+;4;[google_ExoPlayer-d03fb105165f0724b8e576f84b85503c169b233d, apache_tomcat-378d06284bfa20317395d3516a8adf21359a57d9, google_ExoPlayer-5360ddc519392037c3af0887d5d0dafeafe4c110, apache_derby-85fc221dcc56edf92b8d9e9702c79e556e7b7710]
Exception Handler.T+,Flow loop control.S-,Function Creation.S-;2;[apache_tomcat-bf8fb1d3fdd3f755657032b33fa4ef5e308c13e8, apache_tomcat-378d06284bfa20317395d3516a8adf21359a57d9]
Function Creation.S-,Function access.S-,Variable declaration.T+;9;[google_ExoPlayer-d03fb105165f0724b8e576f84b85503c169b233d, apache_tomcat-d34edade02a33248ab8408f00937742a1d72ad64, google_ExoPlayer-e40bba2852da6efb9e2141da0b237fe23900f393, apache_tomcat-b341c09ab21f85345dba2df9eb4551515dfc79f6, apache_tomcat-378d06284bfa20317395d3516a8adf21359a57d9, apache_derby-6c000e85e16a90d6a27983bc81c8f62a5e1cca2e, google_ExoPlayer-5360ddc519392037c3af0887d5d0dafeafe4c110, apache_tomcat-258e768526deb4f6c3510f92974191efb1021638, apache_derby-85fc221dcc56edf92b8d9e9702c79e556e7b7710]
Function Creation.S-,Function access.S-,Variable declaration.T-;2;[apache_derby-3233189a04a8029e5ccae6721a25a92651e74577, netty_netty-123e07ca80bb9cc58ebee598ff0a9379ad9a09fd]
Function Creation.S-,Function access.S-,Variable declaration.S+;2;[apache_tomcat-6b61911f94d6d8d49ee933c5f1882a7e7c336d2c, apache_derby-24e3f7e93c8df4ffb5addb8c35416d515d65dde5]
Function Creation.S-,Function access.S-,Variable declaration.S-;9;[google_ExoPlayer-d03fb105165f0724b8e576f84b85503c169b233d, apache_tomcat-d34edade02a33248ab8408f00937742a1d72ad64, google_ExoPlayer-e40bba2852da6efb9e2141da0b237fe23900f393, apache_tomcat-6b61911f94d6d8d49ee933c5f1882a7e7c336d2c, apache_tomcat-5c512f9f9c1faf74fd48db3882a7bc08c8a56480, apache_tomcat-378d06284bfa20317395d3516a8adf21359a57d9, apache_derby-6c000e85e16a90d6a27983bc81c8f62a5e1cca2e, google_ExoPlayer-5360ddc519392037c3af0887d5d0dafeafe4c110, ikasanEIP_ikasan-4e4d1629663a71a848fcae964940d5cf4247270f]
Function Creation.T+,Function access.S-,Function access.T+,Return modifier.S-;2;[apache_derby-6c000e85e16a90d6a27983bc81c8f62a5e1cca2e, google_ExoPlayer-5360ddc519392037c3af0887d5d0dafeafe4c110]
Conditional.T+,Flow loop control.S-,Flow loop control.T+,Operator expression.S-;2;[apache_tomcat-378d06284bfa20317395d3516a8adf21359a57d9, apache_tomcat-64389d04c74a7d14e37e077d0d563ebb8b45d2ba]
Conditional.T+,Flow loop control.S-,Flow loop control.T+,Operator expression.T+;2;[apache_tomcat-378d06284bfa20317395d3516a8adf21359a57d9, apache_tomcat-64389d04c74a7d14e37e077d0d563ebb8b45d2ba]
Flow loop control.T-,Function access.S-;2;[WhisperSystems_Signal-Android-cd085faecdf378b9245e73ffcfe36d93b61eeef2, apache_tomcat-bf8fb1d3fdd3f755657032b33fa4ef5e308c13e8]
Flow loop control.T-,Function access.T-;2;[WhisperSystems_Signal-Android-cd085faecdf378b9245e73ffcfe36d93b61eeef2, apache_tomcat-bf8fb1d3fdd3f755657032b33fa4ef5e308c13e8]
